,,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
구분1,구분2,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"연령","15~19세","1,076.06","789.84","284.70","674.07","196.29","295.99","220.67","15.59","1,503.94","1,482.56","376.82","749.63","808.65","1,082.78","916.28","998.10","368.49"
"연령","20대","4,439.18","4,471.32","1,118.77","2,135.99","462.03","690.63","541.14","198.73","7,062.30","6,861.57","1,209.17","2,907.49","2,897.74","3,502.15","3,542.98","2,701.38","2,360.38"
"연령","30대","2,316.37","3,115.91","926.39","2,101.78","563.29","970.62","763.43","244.94","7,707.14","7,989.32","1,629.60","4,189.11","2,894.57","4,137.72","4,276.71","3,930.66","2,523.17"
"연령","40대","1,843.57","2,716.04","697.28","1,914.64","498.60","930.42","758.02","280.40","7,461.32","7,278.27","2,206.93","4,545.93","3,800.59","5,495.02","4,753.25","5,073.14","1,948.57"
"연령","50대","1,436.21","2,427.68","652.05","1,940.82","632.38","770.47","523.59","150.57","6,079.87","7,241.15","2,801.77","4,547.19","4,185.27","5,332.53","5,650.65","6,023.82","2,760.00"
"연령","60대","962.09","1,264.13","515.43","1,355.78","318.70","296.64","457.48","77.79","3,595.96","3,672.38","1,405.08","3,177.96","2,244.56","3,147.74","3,204.26","3,324.22","1,271.97"
"연령","70세이상","772.61","758.11","293.91","522.38","212.92","226.43","386.61","61.13","2,707.44","2,173.48","959.87","1,837.63","1,694.99","1,896.40","2,119.57","2,180.11","608.21"
"연령","전체","12,846.08","15,543.03","4,488.53","10,645.47","2,884.22","4,181.19","3,650.92","1,029.15","36,117.97","36,698.74","10,589.24","21,954.95","18,526.36","24,594.33","24,463.70","24,231.43","11,840.79"
