,,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
구분1,구분2,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"연령","15~19세","313.56","98.70","206.54","196.69","101.75","128.65","67.13","62.50","753.12","86.44","62.14","315.46","177.80","157.95","178.03","71.58","11.54"
"연령","20대","1,742.50","392.06","406.89","613.22","237.56","814.63","343.84","163.69","2,372.27","571.75","543.75","734.30","514.33","347.87","633.91","444.52","159.42"
"연령","30대","2,302.64","689.51","605.87","560.42","424.19","1,098.96","646.77","511.95","3,209.11","614.22","711.61","1,256.99","641.75","643.16","728.14","1,078.17","162.61"
"연령","40대","2,341.54","853.46","721.56","938.71","449.66","917.13","312.66","397.69","3,679.80","995.49","1,062.33","1,691.94","896.48","854.61","1,403.11","861.03","127.13"
"연령","50대","2,247.76","801.76","764.23","870.17","495.35","1,032.14","279.48","295.96","3,039.94","959.09","914.71","1,397.47","959.10","777.21","1,303.52","1,242.39","110.27"
"연령","60대","1,699.66","369.75","515.53","421.66","290.80","556.26","222.03","78.53","1,827.48","331.63","566.09","623.34","445.35","383.97","710.93","809.49","96.40"
"연령","70세이상","1,113.61","93.24","222.73","314.16","108.89","230.33","113.24","51.09","1,364.97","178.48","252.25","315.85","323.24","438.22","431.76","337.36","40.63"
"연령","전체","11,761.27","3,298.49","3,443.34","3,915.02","2,108.20","4,778.09","1,985.16","1,561.42","16,246.68","3,737.10","4,112.87","6,335.35","3,958.04","3,602.99","5,389.39","4,844.54","708.00"
