연령,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
15~19세,92.45,133.99,76.89,123.75,101.71,79.07,67.6,35.04,75.35,131.72,113.17,96.33,82.6,104.23,86.02,104.73,335.94
20대,111.8,179.79,116.04,83.78,99.43,96.29,117.43,105.87,88.65,164.68,107.6,103.95,111.25,125.13,111.5,141.68,430.83
30대,94.77,171.96,113.75,107.28,127.3,104.97,90.35,82.26,89.62,172.87,115.51,109.92,120.68,138.63,114.98,120.07,435.13
40대,103.36,148.61,96.45,91.68,113.86,91.09,108.8,67.38,87.24,156.68,116.65,105.06,110.37,130.1,110.79,121.93,492.9
50대,88.68,180.56,107.8,106.46,101.81,98.17,146.89,75.1,92.36,156.82,107.24,115.16,123.9,137.56,128.87,129.47,449.08
60대,97.53,146.98,109.23,99.91,127.11,89.59,89.66,58.39,81.14,141.63,102.18,108.21,118.52,125.01,118.16,108.68,476.11
70세이상,92.29,199.34,89.11,87.09,111.58,87.09,73.4,77.06,82.39,124.48,98.42,94.05,97.61,118.65,118.27,97.3,426.9
전체,99.49,168.35,105.52,98.29,112.54,95.67,103.98,77.37,87.27,157.4,109.49,107.16,113.76,129.72,116.44,120.96,447.74
