,,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
구분1,구분2,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"연령","15~19세","1,389.62","888.54","491.24","870.75","298.04","424.63","287.80","78.10","2,257.06","1,569.00","438.96","1,065.09","986.46","1,240.73","1,094.31","1,069.67","380.03"
"연령","20대","6,181.68","4,863.38","1,525.65","2,749.21","699.59","1,505.26","884.98","362.42","9,434.57","7,433.32","1,752.92","3,641.79","3,412.07","3,850.02","4,176.90","3,145.90","2,519.80"
"연령","30대","4,619.01","3,805.41","1,532.25","2,662.19","987.48","2,069.57","1,410.20","756.89","10,916.24","8,603.54","2,341.21","5,446.11","3,536.31","4,780.88","5,004.85","5,008.83","2,685.78"
"연령","40대","4,185.11","3,569.50","1,418.84","2,853.35","948.26","1,847.54","1,070.67","678.09","11,141.12","8,273.77","3,269.25","6,237.87","4,697.07","6,349.63","6,156.36","5,934.17","2,075.70"
"연령","50대","3,683.97","3,229.44","1,416.28","2,810.99","1,127.73","1,802.61","803.07","446.53","9,119.80","8,200.24","3,716.48","5,944.66","5,144.36","6,109.74","6,954.17","7,266.21","2,870.27"
"연령","60대","2,661.74","1,633.89","1,030.96","1,777.43","609.49","852.90","679.51","156.33","5,423.44","4,004.01","1,971.17","3,801.30","2,689.90","3,531.70","3,915.19","4,133.71","1,368.37"
"연령","70세이상","1,886.22","851.35","516.64","836.55","321.81","456.76","499.85","112.22","4,072.41","2,351.97","1,212.13","2,153.48","2,018.23","2,334.61","2,551.32","2,517.47","648.85"
"연령","전체","24,607.35","18,841.52","7,931.88","14,560.49","4,992.42","8,959.28","5,636.09","2,590.56","52,364.65","40,435.84","14,702.11","28,290.30","22,484.40","28,197.32","29,853.09","29,075.97","12,548.79"
