연령,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
15~19세,1.32,1.71,1.46,1.5,1.94,1.52,1.63,1.38,1.42,2.11,1.68,1.85,2.37,1.64,1.55,1.61,3.01
20대,1.46,1.95,1.68,1.35,1.6,1.75,1.9,1.23,1.34,1.91,1.78,1.59,1.81,1.65,1.67,1.69,3.19
30대,1.45,1.93,1.73,1.49,2.08,1.69,1.58,1.51,1.41,2,1.69,1.75,1.66,1.77,1.68,1.77,3.32
40대,1.52,2.07,1.71,1.51,1.76,1.79,1.64,1.76,1.34,2.05,1.71,1.66,1.73,1.75,1.68,1.69,3.23
50대,1.32,1.75,1.68,1.48,1.71,1.59,1.51,1.28,1.37,1.94,1.73,1.64,1.6,1.74,1.68,1.64,3.03
60대,1.43,1.69,1.77,1.39,1.67,1.48,1.39,1.24,1.42,1.82,1.59,1.51,1.5,1.57,1.66,1.52,3.06
70세이상,1.72,1.92,1.97,1.54,1.68,1.5,1.26,1.66,1.34,1.78,1.41,1.43,1.43,1.71,1.68,1.66,3.47
전체,1.45,1.9,1.71,1.45,1.78,1.67,1.59,1.48,1.37,1.96,1.68,1.63,1.67,1.7,1.67,1.66,3.18
